Common Name,Scientific Name
Black-bellied Whistling-Duck,Dendrocygna autumnalis
Fulvous Whistling-Duck,Dendrocygna bicolor
Emperor Goose,Anser canagicus
Snow Goose,Anser caerulescens
Ross's Goose,Anser rossii
Graylag Goose,Anser anser
Greater White-fronted Goose,Anser albifrons
Lesser White-fronted Goose,Anser erythropus
Taiga Bean-Goose,Anser fabalis
Tundra Bean-Goose,Anser serrirostris
Pink-footed Goose,Anser brachyrhynchus
Brant,Branta bernicla
Barnacle Goose,Branta leucopsis
Cackling Goose,Branta hutchinsii
Canada Goose,Branta canadensis
Hawaiian Goose,Branta sandvicensis
Mute Swan,Cygnus olor
Trumpeter Swan,Cygnus buccinator
Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Egyptian Goose,Alopochen aegyptiaca
Common Shelduck,Tadorna tadorna
Muscovy Duck,Cairina moschata
Wood Duck,Aix sponsa
Baikal Teal,Sibirionetta formosa
Garganey,Spatula querquedula
Blue-winged Teal,Spatula discors
Cinnamon Teal,Spatula cyanoptera
Northern Shoveler,Spatula clypeata
Gadwall,Mareca strepera
Falcated Duck,Mareca falcata
Eurasian Wigeon,Mareca penelope
American Wigeon,Mareca americana
Laysan Duck,Anas laysanensis
Hawaiian Duck,Anas wyvilliana
Eastern Spot-billed Duck,Anas zonorhyncha
Mallard,Anas platyrhynchos
Mexican Duck,Anas diazi
American Black Duck,Anas rubripes
Mottled Duck,Anas fulvigula
White-cheeked Pintail,Anas bahamensis
Northern Pintail,Anas acuta
Green-winged Teal,Anas crecca
Canvasback,Aythya valisineria
Redhead,Aythya americana
Common Pochard,Aythya ferina
Ring-necked Duck,Aythya collaris
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Lesser Scaup,Aythya affinis
Steller's Eider,Polysticta stelleri
"Labrador Duck (extinct, 1858)",Camptorhynchus labradorius
Spectacled Eider,Somateria fischeri
King Eider,Somateria spectabilis
Common Eider,Somateria mollissima
Harlequin Duck,Histrionicus histrionicus
Surf Scoter,Melanitta perspicillata
White-winged Scoter,Melanitta deglandi
Stejneger's Scoter,Melanitta stejnegeri
Common Scoter,Melanitta nigra
Black Scoter,Melanitta americana
Long-tailed Duck,Clangula hyemalis
Bufflehead,Bucephala albeola
Common Goldeneye,Bucephala clangula
Barrow's Goldeneye,Bucephala islandica
Smew,Mergellus albellus
Hooded Merganser,Lophodytes cucullatus
Common Merganser,Mergus merganser
Red-breasted Merganser,Mergus serrator
Masked Duck,Nomonyx dominicus
Ruddy Duck,Oxyura jamaicensis
Plain Chachalaca,Ortalis vetula
Mountain Quail,Oreortyx pictus
Northern Bobwhite,Colinus virginianus
Scaled Quail,Callipepla squamata
California Quail,Callipepla californica
Gambel's Quail,Callipepla gambelii
Montezuma Quail,Cyrtonyx montezumae
Wild Turkey,Meleagris gallopavo
Ruffed Grouse,Bonasa umbellus
Spruce Grouse,Canachites canadensis
Willow Ptarmigan,Lagopus lagopus
Rock Ptarmigan,Lagopus muta
White-tailed Ptarmigan,Lagopus leucura
Greater Sage-Grouse,Centrocercus urophasianus
Gunnison Sage-Grouse,Centrocercus minimus
Dusky Grouse,Dendragapus obscurus
Sooty Grouse,Dendragapus fuliginosus
Sharp-tailed Grouse,Tympanuchus phasianellus
Greater Prairie-Chicken,Tympanuchus cupido
Lesser Prairie-Chicken,Tympanuchus pallidicinctus
Gray Partridge,Perdix perdix
Ring-necked Pheasant,Phasianus colchicus
Kalij Pheasant,Lophura leucomelanos
Indian Peafowl,Pavo cristatus
Gray Francolin,Ortygornis pondicerianus
