Common Name,Status
Brant,Accidental
Cackling Goose,Accidental
Greater White-fronted x Cackling Goose (hybrid),Accidental
Canada Goose,Accidental
Swan Goose x Canada Goose (hybrid),Accidental
Greater White-fronted x Canada Goose (hybrid),Accidental
Graylag x Canada Goose (hybrid),Accidental
Domestic goose sp. x Canada Goose (hybrid),Accidental
Cackling/Canada Goose,Accidental
Branta sp.,Accidental
Mute Swan,Accidental
Black Swan,Accidental
Trumpeter Swan,Accidental
Tundra Swan,Accidental
Trumpeter/Tundra Swan,Accidental
swan sp.,Accidental
goose sp.,Accidental
Egyptian Goose,Accidental
Muscovy Duck,Accidental
Ringed Teal,Accidental
Wood Duck,Accidental
Mandarin Duck,Accidental
Blue-winged Teal,Accidental
Cinnamon Teal,Accidental
Blue-winged x Cinnamon Teal (hybrid),Accidental
Blue-winged/Cinnamon Teal,Accidental
Northern Shoveler,Accidental
Blue-winged Teal x Northern Shoveler (hybrid),Accidental
Cinnamon Teal x Northern Shoveler (hybrid),Accidental
Gadwall,Accidental
Eurasian Wigeon,Accidental
American Wigeon,Accidental
Gadwall x American Wigeon (hybrid),Accidental
Eurasian x American Wigeon (hybrid),Accidental
Eurasian/American Wigeon,Accidental
Mallard,Rare
Muscovy Duck x Mallard (hybrid),Accidental
Wood Duck x Mallard (hybrid),Accidental
Northern Shoveler x Mallard (hybrid),Accidental
Gadwall x Mallard (hybrid),Accidental
American Wigeon x Mallard (hybrid),Accidental
Mexican Duck,Accidental
Mallard x Mexican Duck (hybrid),Accidental
Mallard/Mexican Duck,Accidental
Mexican x Mottled Duck (hybrid),Accidental
Northern Pintail,Accidental
Gadwall x Northern Pintail (hybrid),Accidental
American Wigeon x Northern Pintail (hybrid),Accidental
Mallard x Northern Pintail (hybrid),Accidental
Green-winged Teal,Accidental
Cinnamon x Green-winged Teal (hybrid),Accidental
American Wigeon x Green-winged Teal (hybrid),Accidental
Anas sp.,Accidental
teal sp.,Accidental
dabbling duck sp.,Accidental
Canvasback,Accidental
Redhead,Accidental
Canvasback x Redhead (hybrid),Accidental
Ring-necked Duck,Accidental
Canvasback x Ring-necked Duck (hybrid),Accidental
Redhead x Ring-necked Duck (hybrid),Accidental
Greater Scaup,Accidental
Redhead x Greater Scaup (hybrid),Accidental
Ring-necked Duck x Greater Scaup (hybrid),Accidental
Lesser Scaup,Accidental
Ring-necked Duck x Lesser Scaup (hybrid),Accidental
Ring-necked Duck x scaup sp. (hybrid),Accidental
Greater/Lesser Scaup,Accidental
Aythya sp.,Accidental
Surf Scoter,Accidental
White-winged Scoter,Accidental
Black Scoter,Accidental
scoter sp.,Accidental
Long-tailed Duck,Accidental
Bufflehead,Accidental
Common Goldeneye,Accidental
Bufflehead x Common Goldeneye (hybrid),Accidental
Barrow's Goldeneye,Accidental
Common x Barrow's Goldeneye (hybrid),Accidental
Common/Barrow's Goldeneye,Accidental
Hooded Merganser,Accidental
Common Merganser,Accidental
Red-breasted Merganser,Accidental
Common/Red-breasted Merganser,Accidental
merganser sp.,Accidental
Ruddy Duck,Accidental
duck sp.,Accidental
waterfowl sp.,Accidental
Helmeted Guineafowl,Accidental
Northern Bobwhite,Absent
Scaled Quail,Accidental
California Quail,Accidental
Gambel's Quail,Rare
Scaled x Gambel's Quail (hybrid),Accidental
California/Gambel's Quail,Accidental
Montezuma Quail,Accidental
new world quail sp.,Accidental
Wild Turkey,Accidental
Dusky Grouse,Accidental
Ring-necked Pheasant,Accidental
Indian Peafowl,Accidental
pheasant sp.,Accidental
Red Junglefowl,Accidental
Japanese Quail,Accidental
old world quail sp.,Accidental
Chukar,Accidental
Rock Pigeon,Rare
Columba sp.,Accidental
Band-tailed Pigeon,Accidental
Eurasian Collared-Dove,Rare
African Collared-Dove,Accidental
Eurasian/African Collared-Dove,Accidental
Streptopelia sp.,Accidental
Inca Dove,Accidental
Common Ground Dove,Accidental
Ruddy Ground Dove,Accidental
Common/Ruddy Ground Dove,Accidental
ground dove/Inca Dove,Accidental
White-tipped Dove,Accidental
White-winged Dove,Rare
Mourning Dove,Rare
Eurasian Collared-Dove x Mourning Dove (hybrid),Accidental
pigeon/dove sp.,Accidental
Groove-billed Ani,Accidental
Greater Roadrunner,Accidental
Lesser/Greater Roadrunner,Accidental
Yellow-billed Cuckoo,Accidental
cuckoo sp. (Cuculidae sp.),Accidental
Lesser Nighthawk,Accidental
Common Nighthawk,Accidental
nighthawk sp.,Accidental
Common Poorwill,Accidental
Buff-collared Nightjar,Accidental
Mexican Whip-poor-will,Accidental
Eastern/Mexican Whip-poor-will,Accidental
nightjar sp.,Accidental
Black Swift,Accidental
Chimney Swift,Accidental
Vaux's Swift,Accidental
Chimney/Vaux's Swift,Accidental
Chaetura sp.,Accidental
White-throated Swift,Accidental
large swift sp.,Accidental
small swift sp.,Accidental
swift sp.,Accidental
Rivoli's Hummingbird,Accidental
Plain-capped Starthroat,Accidental
Blue-throated Mountain-gem,Accidental
Lucifer Hummingbird,Accidental
Ruby-throated Hummingbird,Accidental
Black-chinned Hummingbird,Rare
Lucifer x Black-chinned Hummingbird (hybrid),Accidental
Ruby-throated/Black-chinned Hummingbird,Accidental
Anna's Hummingbird,Rare
Black-chinned x Anna's Hummingbird (hybrid),Accidental
Costa's Hummingbird,Accidental
Lucifer x Costa's Hummingbird (hybrid),Accidental
Black-chinned x Costa's Hummingbird (hybrid),Accidental
Anna's x Costa's Hummingbird (hybrid),Accidental
Anna's/Costa's Hummingbird,Accidental
Calliope Hummingbird,Accidental
Black-chinned x Calliope Hummingbird (hybrid),Accidental
Rufous Hummingbird,Accidental
Black-chinned x Rufous Hummingbird (hybrid),Accidental
Anna's x Rufous Hummingbird (hybrid),Accidental
Calliope x Rufous Hummingbird (hybrid),Accidental
Allen's Hummingbird,Accidental
Rufous x Allen's Hummingbird (hybrid),Accidental
Rufous/Allen's Hummingbird,Accidental
Broad-tailed Hummingbird,Accidental
Black-chinned x Broad-tailed Hummingbird (hybrid),Accidental
Anna's Hummingbird x Selasphorus sp. (hybrid),Accidental
Selasphorus sp.,Accidental
Broad-billed Hummingbird,Rare
Black-chinned x Broad-billed Hummingbird (hybrid),Accidental
Anna's x Broad-billed Hummingbird (hybrid),Accidental
White-eared Hummingbird,Accidental
Violet-crowned Hummingbird,Accidental
Broad-billed x Violet-crowned Hummingbird (hybrid),Accidental
Berylline Hummingbird,Accidental
Broad-billed x Berylline Hummingbird (hybrid),Accidental
Rivoli's x Berylline Hummingbird (hybrid),Accidental
hummingbird sp.,Accidental
Ridgway's Rail,Accidental
Ridgway's/Mangrove/Clapper Rail,Accidental
large rail sp.,Accidental
Virginia Rail,Accidental
Sora,Accidental
Common Gallinule,Accidental
American Coot,Rare
coot sp.,Accidental
Purple Gallinule,Accidental
moorhen/coot/gallinule sp.,Accidental
Black Rail,Accidental
rail/crake sp.,Accidental
Sandhill Crane,Accidental
Common Crane,Accidental
crane sp.,Accidental
Black-necked Stilt,Accidental
American Avocet,Accidental
Black-bellied Plover,Accidental
American Golden-Plover,Accidental
Pacific Golden-Plover,Accidental
golden-plover sp.,Accidental
Black-bellied Plover/golden-plover sp.,Accidental
Killdeer,Rare
Semipalmated Plover,Accidental
Siberian Sand-Plover,Accidental
Mountain Plover,Accidental
Snowy Plover,Accidental
small plover sp.,Accidental
plover sp.,Accidental
Northern Jacana,Accidental
Upland Sandpiper,Accidental
Whimbrel,Accidental
Long-billed Curlew,Accidental
curlew sp.,Accidental
Hudsonian Godwit,Accidental
Marbled Godwit,Accidental
godwit sp.,Accidental
Short-billed Dowitcher,Accidental
Long-billed Dowitcher,Accidental
Short-billed/Long-billed Dowitcher,Accidental
American Woodcock,Accidental
Wilson's Snipe,Accidental
snipe sp.,Accidental
Wilson's Phalarope,Accidental
Red Phalarope,Accidental
Red-necked Phalarope,Accidental
Red/Red-necked Phalarope,Accidental
phalarope sp.,Accidental
Spotted Sandpiper,Accidental
Solitary Sandpiper,Accidental
Lesser Yellowlegs,Accidental
Willet,Accidental
Greater Yellowlegs,Accidental
Lesser/Greater Yellowlegs,Accidental
Tringa sp.,Accidental
Ruddy Turnstone,Accidental
Black Turnstone,Accidental
Red Knot,Accidental
Ruff,Accidental
Sharp-tailed Sandpiper,Accidental
Curlew Sandpiper,Accidental
Stilt Sandpiper,Accidental
Buff-breasted Sandpiper,Accidental
Sanderling,Accidental
Dunlin,Accidental
Baird's Sandpiper,Accidental
White-rumped Sandpiper,Accidental
Least Sandpiper,Accidental
Pectoral Sandpiper,Accidental
Western Sandpiper,Accidental
Semipalmated Sandpiper,Accidental
Western/Semipalmated Sandpiper,Accidental
peep sp.,Accidental
Calidris sp.,Accidental
Scolopacidae sp.,Accidental
large shorebird sp.,Accidental
shorebird sp.,Accidental
Long-tailed Jaeger,Accidental
Parasitic Jaeger,Accidental
Long-tailed/Parasitic Jaeger,Accidental
Pomarine Jaeger,Accidental
Parasitic/Pomarine Jaeger,Accidental
jaeger sp.,Accidental
Little Gull,Accidental
Black-legged Kittiwake,Accidental
