Common Name,Status
Emperor x Greater White-fronted Goose (hybrid),Accidental
Snow x Greater White-fronted Goose (hybrid),Accidental
Greater/Lesser White-fronted Goose,Accidental
Tundra Bean-Goose,Accidental
Taiga/Tundra Bean-Goose,Accidental
Domestic goose sp. (Domestic type),Accidental
Brant,Accidental
Cackling Goose,Accidental
Snow x Cackling Goose (hybrid),Accidental
Greater White-fronted x Cackling Goose (hybrid),Accidental
Canada Goose,Rare
Swan Goose x Canada Goose (hybrid),Accidental
Greater White-fronted x Canada Goose (hybrid),Accidental
Greater White-fronted x Cackling/Canada Goose (hybrid),Accidental
Graylag x Canada Goose (hybrid),Accidental
Domestic goose sp. x Canada Goose (hybrid),Accidental
Snow x Canada Goose (hybrid),Accidental
Barnacle x Canada Goose (hybrid),Accidental
Cackling/Canada Goose,Accidental
Red-breasted Goose,Accidental
Branta sp.,Accidental
Mute Swan,Accidental
Black Swan,Accidental
Black-necked Swan,Accidental
Trumpeter Swan,Accidental
Tundra Swan,Accidental
Trumpeter x Tundra Swan (hybrid),Accidental
Trumpeter/Tundra Swan,Accidental
Whooper Swan,Absent
swan sp.,Accidental
goose sp.,Accidental
Egyptian Goose,Accidental
Ruddy Shelduck,Accidental
Common Shelduck,Accidental
Crested Duck,Accidental
Muscovy Duck,Accidental
Ringed Teal,Accidental
Wood Duck,Accidental
Mandarin Duck,Accidental
Baikal Teal,Accidental
Garganey,Accidental
Blue-winged Teal,Accidental
Cinnamon Teal,Accidental
Blue-winged x Cinnamon Teal (hybrid),Accidental
Blue-winged/Cinnamon Teal,Accidental
Northern Shoveler,Accidental
Blue-winged Teal x Northern Shoveler (hybrid),Accidental
Cinnamon Teal x Northern Shoveler (hybrid),Accidental
Gadwall,Accidental
Northern Shoveler x Gadwall (hybrid),Accidental
Falcated Duck,Accidental
Eurasian Wigeon,Accidental
American Wigeon,Accidental
Northern Shoveler x American Wigeon (hybrid),Accidental
Eurasian x American Wigeon (hybrid),Accidental
Eurasian/American Wigeon,Accidental
Chiloe Wigeon,Accidental
Mallard,Rare
Muscovy Duck x Mallard (hybrid),Accidental
Wood Duck x Mallard (hybrid),Accidental
Northern Shoveler x Mallard (hybrid),Accidental
Gadwall x Mallard (hybrid),Accidental
