Common Name,Status
Greater White-fronted x Canada Goose (hybrid),Accidental
Graylag x Canada Goose (hybrid),Accidental
Cackling/Canada Goose,Accidental
Branta sp.,Accidental
Mute Swan,Accidental
Trumpeter Swan,Accidental
Tundra Swan,Accidental
Trumpeter/Tundra Swan,Accidental
swan sp.,Accidental
goose sp.,Accidental
Muscovy Duck,Accidental
Wood Duck,Accidental
Mandarin Duck,Accidental
Blue-winged Teal,Accidental
Cinnamon Teal,Accidental
Blue-winged x Cinnamon Teal (hybrid),Accidental
Blue-winged/Cinnamon Teal,Accidental
Northern Shoveler,Accidental
Gadwall,Accidental
Eurasian Wigeon,Accidental
American Wigeon,Accidental
Eurasian x American Wigeon (hybrid),Accidental
Eurasian/American Wigeon,Accidental
Mallard,Rare
Muscovy Duck x Mallard (hybrid),Accidental
Gadwall x Mallard (hybrid),Accidental
Mallard/Mexican Duck,Accidental
American Black Duck,Accidental
Northern Pintail,Accidental
Mallard x Northern Pintail (hybrid),Accidental
Green-winged Teal,Accidental
American Wigeon x Green-winged Teal (hybrid),Accidental
Anas sp.,Accidental
teal sp.,Accidental
dabbling duck sp.,Accidental
Canvasback,Accidental
Redhead,Accidental
Ring-necked Duck,Accidental
Tufted Duck,Accidental
Greater Scaup,Accidental
Lesser Scaup,Accidental
Redhead x Lesser Scaup (hybrid),Accidental
Ring-necked Duck x Lesser Scaup (hybrid),Accidental
Greater/Lesser Scaup,Accidental
Aythya sp.,Accidental
Harlequin Duck,Accidental
Surf Scoter,Accidental
White-winged Scoter,Accidental
Black Scoter,Accidental
scoter sp.,Accidental
Long-tailed Duck,Accidental
Bufflehead,Accidental
Common Goldeneye,Accidental
Bufflehead x Common Goldeneye (hybrid),Accidental
Barrow's Goldeneye,Accidental
Common x Barrow's Goldeneye (hybrid),Accidental
Common/Barrow's Goldeneye,Accidental
Hooded Merganser,Accidental
Common Goldeneye x Hooded Merganser (hybrid),Accidental
Common Merganser,Accidental
Red-breasted Merganser,Accidental
Common/Red-breasted Merganser,Accidental
merganser sp.,Accidental
Ruddy Duck,Accidental
duck sp.,Accidental
waterfowl sp.,Accidental
Helmeted Guineafowl,Accidental
Mountain Quail,Accidental
Northern Bobwhite,Accidental
California Quail,Rare
Gambel's Quail,Accidental
Wild Turkey,Accidental
Ruffed Grouse,Accidental
Greater Sage-Grouse,Accidental
Dusky Grouse,Accidental
Sharp-tailed Grouse,Accidental
Spruce Grouse,Accidental
grouse sp.,Accidental
Gray Partridge,Accidental
Golden Pheasant,Accidental
Ring-necked Pheasant,Accidental
Ring-necked/Green Pheasant,Accidental
Indian Peafowl,Accidental
Red Junglefowl,Accidental
Red-legged Partridge,Accidental
Chukar,Accidental
Rock Pigeon,Accidental
Band-tailed Pigeon,Accidental
Eurasian Collared-Dove,Rare
Streptopelia sp.,Accidental
White-winged Dove,Accidental
Mourning Dove,Rare
pigeon/dove sp.,Accidental
Yellow-billed Cuckoo,Accidental
Common Nighthawk,Accidental
nighthawk sp.,Accidental
Common Poorwill,Accidental
Black Swift,Accidental
Vaux's Swift,Accidental
White-throated Swift,Accidental
swift sp.,Accidental
Black-chinned Hummingbird,Accidental
Ruby-throated/Black-chinned Hummingbird,Accidental
Anna's Hummingbird,Accidental
Calliope Hummingbird,Accidental
Black-chinned x Calliope Hummingbird (hybrid),Accidental
Anna's x Calliope Hummingbird (hybrid),Accidental
Rufous Hummingbird,Accidental
Calliope x Rufous Hummingbird (hybrid),Accidental
Rufous/Allen's Hummingbird,Accidental
Broad-tailed Hummingbird,Accidental
Black-chinned x Broad-tailed Hummingbird (hybrid),Accidental
Selasphorus sp.,Accidental
hummingbird sp.,Accidental
Virginia Rail,Accidental
Sora,Accidental
American Coot,Rare
rail/crake sp.,Accidental
Sandhill Crane,Accidental
Common Crane,Accidental
Black-necked Stilt,Accidental
American Avocet,Accidental
Black-bellied Plover,Accidental
American Golden-Plover,Accidental
Killdeer,Rare
Semipalmated Plover,Accidental
Snowy Plover,Accidental
small plover sp.,Accidental
plover sp.,Accidental
Whimbrel,Accidental
Long-billed Curlew,Accidental
Hudsonian Godwit,Accidental
Marbled Godwit,Accidental
godwit sp.,Accidental
Short-billed Dowitcher,Accidental
Long-billed Dowitcher,Accidental
Short-billed/Long-billed Dowitcher,Accidental
Wilson's Snipe,Accidental
Wilson's Phalarope,Accidental
Red Phalarope,Accidental
Red-necked Phalarope,Accidental
Red/Red-necked Phalarope,Accidental
phalarope sp.,Accidental
Spotted Sandpiper,Accidental
Common/Spotted Sandpiper,Accidental
