Macro_Region,Region ID,Country,State/Province,Region Type,Region Display Name,County Name,Notes / Description,BCR Number(s),Flagship Species,Priority Flag,Recommended eBird Hotspots,Seasonality Focus / Special Field Notes
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,Alpine County,High elevation forests and alpine meadows,BCR 15,"Clark's Nutcracker, Mountain Bluebird",High,Grover Hot Springs State Park,"Alpine breeders, montane residents"
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,Amador County,"Montane forests, oak woodlands",BCR 15,"Mountain Quail, Hermit Warbler",High,Eldorado National Forest,"Elevational migrants, year-round residents"
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,Calaveras County,"Montane forests, foothill woodlands",BCR 15,"Pileated Woodpecker, Black-headed Grosbeak",High,Calaveras Big Trees State Park,Breeding season specialties
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,El Dorado County,Montane forests and foothill transition,BCR 15,"Mountain Quail, Hermit Warbler",High,Lake Tahoe Basin,"Breeding specialties, elevational migrants"
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,Mariposa County,Montane forests and foothill oak savanna,BCR 15,"Western Tanager, Cassin's Finch",High,Yosemite National Park,"Breeding specialties, elevational migrants"
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,Nevada County,Montane forests and riparian corridors,BCR 15,"American Dipper, MacGillivray's Warbler",High,South Yuba River State Park,Breeding season migrants
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,Placer County,"Montane specialists, pine forests, elevational migrants",BCR 15,"Mountain Quail, Hermit Warbler",High,Tahoe National Forest,"Breeding specialties, elevational migrants"
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,Plumas County,"Coniferous forests, montane wetlands",BCR 15,"Yellow-rumped Warbler, Sooty Grouse",High,Plumas National Forest,Breeding season migrants
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,Sierra County,Montane forests and alpine meadows,BCR 15,"Mountain Chickadee, Cassin's Finch",High,Lakes Basin Recreation Area,"Alpine breeders, montane residents"
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,Tuolumne County,Montane forests and granite domes,BCR 15,"Mountain Quail, Green-tailed Towhee",High,Yosemite National Park,"Breeding specialties, elevational migrants"
Mountain West,CA_SierraNevada,USA,California,Subregion,Sierra Nevada & Foothills,Yuba County,Montane forests and oak woodlands,BCR 15,"Acorn Woodpecker, Western Bluebird",Medium,Spenceville Wildlife Area,"Year-round residents, breeders"
Mountain West,CA_NorthernInterior,USA,California,Subregion,Cascade Range & Northern Interior,Butte County,Cascade foothills and river valleys,BCR 15,"American Dipper, Black Phoebe",Medium,Feather River Canyon,"Breeding residents, migrants"
Mountain West,CA_NorthernInterior,USA,California,Subregion,Cascade Range & Northern Interior,Lassen County,High desert plateaus and coniferous forests,BCR 9,"Sage Thrasher, Mountain Bluebird",Medium,Eagle Lake Recreation Area,Breeding season specialties
Mountain West,CA_NorthernInterior,USA,California,Subregion,Cascade Range & Northern Interior,Modoc County,High desert wetlands and forested mountains,BCR 9,"Sandhill Crane, Sage Thrasher",High,Modoc National Wildlife Refuge,Summer breeders and migrants
Mountain West,CA_NorthernInterior,USA,California,Subregion,Cascade Range & Northern Interior,Shasta County,"Volcanic landscapes, forested lakes",BCR 15,"Bald Eagle, Osprey",High,Lake Shasta,"Spring/summer breeders, raptors"
Mountain West,CA_NorthernInterior,USA,California,Subregion,Cascade Range & Northern Interior,Siskiyou County,Mountain forests and meadows,BCR 5,"Great Gray Owl, Mountain Bluebird",High,Klamath National Forest,"Alpine breeders, montane residents"
Mountain West,CA_NorthernInterior,USA,California,Subregion,Cascade Range & Northern Interior,Tehama County,Foothill woodlands and riparian zones,BCR 32,"Oak Titmouse, Yellow-billed Magpie",Medium,Woodson Bridge State Recreation Area,Breeding season specialists
Mountain West,CA_NorthernInterior,USA,California,Subregion,Cascade Range & Northern Interior,Trinity County,Mountain forests and clear rivers,BCR 5,"Belted Kingfisher, American Dipper",Medium,Trinity Alps Wilderness,"Year-round residents, breeders"
Pacific Coast,CA_CentralValley,USA,California,Subregion,Central Valley & Bay-Delta,Colusa County,Intensive agriculture and seasonal wetlands,BCR 32,"Northern Pintail, Sandhill Crane",High,Colusa National Wildlife Refuge,"Wintering waterfowl, migration"
Pacific Coast,CA_CentralValley,USA,California,Subregion,Central Valley & Bay-Delta,Glenn County,Grasslands and rice agriculture,BCR 32,"Greater White-fronted Goose, Snow Goose",High,Sacramento National Wildlife Refuge,Wintering waterfowl
Pacific Coast,CA_CentralValley,USA,California,Subregion,Central Valley & Bay-Delta,Kings County,Farmlands and evaporation ponds,BCR 32,"American Avocet, Black-necked Stilt",High,Kern National Wildlife Refuge,Migratory waterbirds
Pacific Coast,CA_CentralValley,USA,California,Subregion,Central Valley & Bay-Delta,Madera County,Grasslands and river corridors,BCR 32,"Yellow-billed Magpie, Swainson's Hawk",Medium,San Joaquin River Parkway,Migration corridors
Pacific Coast,CA_CentralValley,USA,California,Subregion,Central Valley & Bay-Delta,Merced County,Riparian zones and wetlands,BCR 32,"Tricolored Blackbird, Long-billed Curlew",High,Merced National Wildlife Refuge,Wintering waterfowl
Pacific Coast,CA_CentralValley,USA,California,Subregion,Central Valley & Bay-Delta,Stanislaus County,Floodplains and agriculture,BCR 32,"Killdeer, White-faced Ibis",Medium,San Joaquin River NWR,Migration and wintering waterbirds
